datum,titel_kurz_d,br_pos,annahme
2001-12-02,Initiative «für eine Kapitalgewinnsteuer»,0,0
2002-03-03,Initiative für den UNO-Beitritt,1,1
2002-03-03,Initiative «für eine kürzere Arbeitszeit»,0,0
2002-06-02,Fristenregelung (Schwangerschaftsabbruch),1,1
2002-06-02,Initiative «Für Mutter und Kind»,0,0
2002-09-22,«Goldinitiative»,0,0
2002-09-22,"Gegenentwurf «Gold für AHV, Kantone und Stiftung»",1,0
2002-09-22,Elektrizitätsmarktgesetz,1,0
2002-11-24,Initiative «gegen Asylrechtsmissbrauch»,0,0
2002-11-24,Arbeitslosenversicherungsgesetz,1,1
2003-02-09,Bundesbeschluss über die Änderung der Volksrechte,1,1
2003-02-09,Gesetz über die kantonalen Beiträge an Spitalbehandlungen,1,1
2003-05-18,Armee XXI,1,1
2003-05-18,Gesetz über den Zivilschutz,1,1
2003-05-18,Initiative «Ja zu fairen Mieten»,0,0
2003-05-18,Initiative «Für einen autofreien Sonntag pro Jahreszeit»,0,0
2003-05-18,«Gesundheitsinitiative»,0,0
2003-05-18,Initiative «Gleiche Rechte für Behinderte»,0,0
2003-05-18,Initiative «Strom ohne Atom»,0,0
2003-05-18,Initiative «MoratoriumPlus»,0,0
2003-05-18,«Lehrstellen-Initiative»,0,0
2004-02-08,Gegenentwurf zur Avanti-Initiative,1,0
2004-02-08,Änderung des Mietrechts,1,0
2004-02-08,Initiative für eine lebenslange Verwahrung für gefährliche Straftäter,0,1
2004-05-16,11. AHV-Revision,1,0
2004-05-16,Anhebung der Mehrwertsteuer zu Gunsten von AHV und IV,1,0
2004-05-16,Steuerpaket,1,0
2004-09-26,Erleichterte Einbürgerung von Jugendlichen der zweiten Generation,1,0
2004-09-26,Bürgerrechtserwerb für die dritte Generation,1,0
2004-09-26,Initiative «Postdienst für alle»,0,0
2004-09-26,Erwerbsersatz für Dienstleistende und bei Mutterschaft,1,1
2004-11-28,Neugestaltung Finanzausgleich,1,1
2004-11-28,Neue Finanzordnung,1,1
2004-11-28,Stammzellenforschungsgesetz,1,1
2005-06-05,Abkommen zu Schengen und Dublin,1,1
2005-06-05,Gesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare,1,1
2005-09-25,Ausdehnung der Personenfreizügigkeit auf die neuen EU-Staaten,1,1
2005-11-27,Initiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»,0,1
2005-11-27,Arbeitsgesetz (Sonntagsarbeit),1,1
2006-05-21,Neuordnung der Verfassungsbestimmungen zur Bildung,1,1
2006-09-24,Initiative «Nationalbankgewinne für die AHV»,0,0
2006-09-24,Ausländergesetz,1,1
2006-09-24,Asylgesetz,1,1
2006-11-26,Gesetz über die Zusammenarbeit mit den Staaten Osteuropas,1,1
2006-11-26,Gesetz über die Familienzulagen,1,1
2007-03-11,Initiative für eine Einheitskrankenkasse,0,0
2007-06-17,5. IV-Revision,1,1
2008-02-24,Initiative «Gegen Kampfjetlärm in Tourismusgebieten»,0,0
2008-02-24,Unternehmenssteuerreform II,1,1
2008-06-01,Initiative «Für demokratische Einbürgerungen»,0,0
2008-06-01,Initiative «gegen Behördenprogaganda»,0,0
2008-06-01,Verfassungsartikel zur Krankenversicherung,1,0
2008-11-30,Initiative für die Unverjährbarkeit pornografischer Straftaten an Kindern,0,1
2008-11-30,Initiative «für ein flexibles AHV-Alter»,0,0
2008-11-30,Verbandsbeschwerderechts-Initiative,0,0
2008-11-30,Initiative «für eine vernünftige Hanf-Politik»,0,0
2008-11-30,Betäubungsmittelgesetz,1,1
2009-02-08,Weiterführung der Personenfreizügigkeit Schweiz–EU und Ausdehnung auf Bulgarien und Rumänien,1,1
2009-05-17,Verfassungsartikel zur Komplementärmedizin,1,1
2009-05-17,Einführung des biometrischen Passes,1,1
2009-09-27,Zusatzfinanzierung der Invalidenversicherung,1,1
2009-09-27,Verzicht auf die Einführung der allgemeinen Volksinitiative,1,1
2009-11-29,Spezialfinanzierung für Aufgaben im Luftverkehr,1,1
2009-11-29,Initiative «Für ein Verbot von Kriegsmaterial-Exporten»,0,0
2009-11-29,Initiative «Gegen den Bau von Minaretten»,0,1
2010-03-07,Verfassungsartikel über die Forschung am Menschen,1,1
2010-03-07,Tierschutzanwalt-Initiative,0,0
2010-03-07,Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes,1,0
2010-09-26,Revision des Arbeitslosenversicherungsgesetzes,1,1
2010-11-28,Ausschaffungsinitiative,0,1
2010-11-28,Gegenentwurf zur Ausschaffungsinitiative,1,0
2010-11-28,«Steuergerechtigkeits-Initiative»,0,0
2011-02-13,Initiative «Für den Schutz vor Waffengewalt»,0,0
2012-03-11,Zweitwohnungsinitiative,0,1
2012-03-11,Initiative «Für ein steuerlich begünstigtes Bausparen»,0,0
2012-03-11,Initiative «6 Wochen Ferien für alle»,0,0
2012-03-11,Regelung der Geldspiele zugunsten gemeinnütziger Zwecke,1,1
