datum,titel_kurz_d,p_svp,annahme
1977-09-25 18:00:00,Erhöhung der Unterschriftenzahl für das Referendum,1,1
1977-09-25 19:00:00,Erhöhung der Unterschriftenzahl für die Verfassungsinitiative,1,1
1977-09-25 20:00:00,Initiative «für die Fristenlösung»,5,0
1977-12-04 21:00:00,«Reichtumssteuer-Initiative»,0,0
1977-12-04 22:00:00,Bundesgesetz über die politischen Rechte,1,1
1977-12-04 23:00:00,Einführung eines zivilen Ersatzdienstes,0,0
1977-12-04 00:00:00,Massnahmen zum Ausgleich des Bundeshaushaltes,1,1
1978-02-26 01:00:00,Initiative für mehr Mitbestimmung im Nationalstrassenbau,0,0
1978-02-26 02:00:00,9. AHV-Revision,1,1
1978-02-26 03:00:00,Initiative zur Herabsetzung des AHV-Alters,0,0
1978-02-26 04:00:00,Konjunkturartikel,1,1
1978-05-28 05:00:00,Zeitgesetz (Sommerzeit),0,0
1978-05-28 06:00:00,Zolltarifgesetz (Brotpreis),1,1
1978-05-28 07:00:00,Gesetz über den Schwangerschaftsabbruch,5,0
1978-05-28 08:00:00,Gesetz über die Hochschulförderung,1,0
1978-05-28 09:00:00,Initiative für 12 autofreie Sonntage pro Jahr,0,0
1978-09-24 10:00:00,Bundesbeschluss über die Gründung des Kantons Jura,1,1
1978-12-03 11:00:00,Milchwirtschaftsbeschluss,1,1
1978-12-03 12:00:00,Tierschutzgesetz ,1,1
1978-12-03 13:00:00,Sicherheitspolizeigesetz,1,0
1978-12-03 14:00:00,Berufsbildungsgesetz,1,1
1979-02-18 15:00:00,Stimm- und Wahlrecht für 18-Jährige,1,0
1979-02-18 16:00:00,Bundesbeschluss über die Fuss- und Wanderwege,1,1
1979-02-18 17:00:00,Initiative «gegen Suchtmittelreklame»,0,0
1979-02-18 18:00:00,Atominitiative,0,0
1979-05-20 19:00:00,Neuordnung der Umsatzsteuer und der direkten Bundessteuer,1,0
1979-05-20 20:00:00,Atomgesetz,1,1
1980-03-02 21:00:00,Initiative zur «vollständigen Trennung von Kirche und Staat»,0,0
1980-03-02 22:00:00,Neuordnung der Landesversorgung,1,1
1980-11-30 23:00:00,Gurten- und Schutzhelmobligatorium,1,1
